ESTAR: Stopping Powers and Range Tables for Electrons

COPPER                                                                    

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-02 1.319E+01 4.601E-04 
1.250E-02 1.128E+01 6.658E-04 
1.500E-02 9.917E+00 9.028E-04 
1.750E-02 8.887E+00 1.170E-03 
2.000E-02 8.080E+00 1.465E-03 
2.500E-02 6.892E+00 2.138E-03 
3.000E-02 6.055E+00 2.914E-03 
3.500E-02 5.431E+00 3.788E-03 
4.000E-02 4.947E+00 4.754E-03 
4.500E-02 4.560E+00 5.808E-03 
5.000E-02 4.242E+00 6.946E-03 
5.500E-02 3.977E+00 8.164E-03 
6.000E-02 3.753E+00 9.459E-03 
7.000E-02 3.392E+00 1.227E-02 
8.000E-02 3.114E+00 1.535E-02 
9.000E-02 2.894E+00 1.868E-02 
1.000E-01 2.715E+00 2.225E-02 
1.250E-01 2.387E+00 3.211E-02 
1.500E-01 2.164E+00 4.314E-02 
1.750E-01 2.002E+00 5.517E-02 
2.000E-01 1.881E+00 6.807E-02 
2.500E-01 1.711E+00 9.603E-02 
3.000E-01 1.601E+00 1.263E-01 
3.500E-01 1.524E+00 1.584E-01 
4.000E-01 1.469E+00 1.918E-01 
4.500E-01 1.428E+00 2.263E-01 
5.000E-01 1.398E+00 2.617E-01 
5.500E-01 1.375E+00 2.978E-01 
6.000E-01 1.357E+00 3.345E-01 
7.000E-01 1.333E+00 4.089E-01 
8.000E-01 1.319E+00 4.843E-01 
9.000E-01 1.312E+00 5.604E-01 
1.000E+00 1.309E+00 6.367E-01 
1.250E+00 1.313E+00 8.276E-01 
1.500E+00 1.327E+00 1.017E+00 
1.750E+00 1.344E+00 1.204E+00 
2.000E+00 1.364E+00 1.389E+00 
2.500E+00 1.405E+00 1.750E+00 
3.000E+00 1.448E+00 2.101E+00 
3.500E+00 1.490E+00 2.441E+00 
4.000E+00 1.531E+00 2.772E+00 
4.500E+00 1.573E+00 3.094E+00 
5.000E+00 1.613E+00 3.408E+00 
5.500E+00 1.653E+00 3.715E+00 
6.000E+00 1.693E+00 4.013E+00 
7.000E+00 1.771E+00 4.591E+00 
8.000E+00 1.849E+00 5.143E+00 
9.000E+00 1.925E+00 5.673E+00 
1.000E+01 2.001E+00 6.183E+00 
1.250E+01 2.190E+00 7.376E+00 
1.500E+01 2.377E+00 8.472E+00 
1.750E+01 2.563E+00 9.484E+00 
2.000E+01 2.749E+00 1.043E+01 
2.500E+01 3.120E+00 1.213E+01 
3.000E+01 3.491E+00 1.365E+01 
3.500E+01 3.861E+00 1.501E+01 
4.000E+01 4.233E+00 1.624E+01 
4.500E+01 4.605E+00 1.738E+01 
5.000E+01 4.978E+00 1.842E+01 
5.500E+01 5.351E+00 1.939E+01 
6.000E+01 5.725E+00 2.029E+01 
7.000E+01 6.476E+00 2.193E+01 
8.000E+01 7.229E+00 2.339E+01 
9.000E+01 7.983E+00 2.471E+01 
1.000E+02 8.740E+00 2.591E+01 
1.250E+02 1.064E+01 2.850E+01 
1.500E+02 1.254E+01 3.066E+01 
1.750E+02 1.445E+01 3.251E+01 
2.000E+02 1.637E+01 3.414E+01 
2.500E+02 2.020E+01 3.688E+01 
3.000E+02 2.404E+01 3.915E+01 
3.500E+02 2.789E+01 4.108E+01 
4.000E+02 3.174E+01 4.276E+01 
4.500E+02 3.560E+01 4.424E+01 
5.000E+02 3.946E+01 4.558E+01 
5.500E+02 4.332E+01 4.679E+01 
6.000E+02 4.718E+01 4.789E+01 
7.000E+02 5.491E+01 4.985E+01 
8.000E+02 6.265E+01 5.156E+01 
9.000E+02 7.039E+01 5.306E+01 
1.000E+03 7.813E+01 5.441E+01 
